"","Year","CountryName","TotalAdj","predicted","residuals","Gold","Silver","Bronze","locCity"
"3918",1976,"Finland",7,4,2.56923384901559,2,4,1,"Innsbruck"
"4132",1980,"Finland",9,7,2.06598460897953,1,5,3,"Lake Placid"
"4346",1984,"Finland",13,8,4.71061147496292,4,3,6,"Sarajevo"
"4560",1988,"Finland",7,13,-5.53658810535432,4,1,2,"Calgary"
"4774",1992,"Finland",7,8,-0.854811213828846,3,1,3,"Albertville"
"4988",1994,"Finland",6,7,-1.00930670624112,0,1,5,"Lillehammer"
"5202",1998,"Finland",12,6,5.54890205637576,2,4,6,"Nagano"
"5416",2002,"Finland",7,12,-4.99743390302866,4,2,1,"Salt Lake City"
"5630",2006,"Finland",9,7,1.70022072143492,0,6,3,"Torino"
"5844",2010,"Finland",5,9,-3.91663540884474,0,1,4,"Vancouver"
"6058",2014,"Finland",5,6,-0.699845214406087,1,3,1,"Sochi"
"3277",1964,"France",7,4,2.69665851981651,3,4,0,"Innsbruck"
"3491",1968,"France",9,7,1.59546963282418,4,3,2,"Grenoble"
"3705",1972,"France",3,8,-5.23476271085539,0,1,2,"Sapporo"
"3919",1976,"France",1,3,-2.14751174185841,0,0,1,"Innsbruck"
"4133",1980,"France",1,2,-1.07893806871737,0,0,1,"Lake Placid"
"4347",1984,"France",3,2,1.47799016705324,0,1,2,"Sarajevo"
"4561",1988,"France",2,4,-1.93257263405078,1,0,1,"Calgary"
"4775",1992,"France",9,4,5.1160326722547,3,5,1,"Albertville"
"4989",1994,"France",5,9,-4.39873590776402,0,1,4,"Lillehammer"
"5203",1998,"France",8,6,1.94357808621088,2,1,5,"Nagano"
"5417",2002,"France",11,9,2.13227450714263,4,5,2,"Salt Lake City"
"5631",2006,"France",9,11,-2.40004086792845,3,2,4,"Torino"
"5845",2010,"France",11,9,1.59874530259103,2,3,6,"Vancouver"
"6059",2014,"France",15,12,3.39371190979786,4,4,7,"Sochi"
"5207",1998,"Georgia",0,0,0.370371060747544,0,0,0,"Nagano"
"5421",2002,"Georgia",0,0,0.279715390405519,0,0,0,"Salt Lake City"
"5635",2006,"Georgia",0,0,0.3009549508108,0,0,0,"Torino"
"5849",2010,"Georgia",0,0,0.378000606815895,0,0,0,"Vancouver"
"6063",2014,"Georgia",0,0,-0.0197582569000002,0,0,0,"Sochi"
"4994",1994,"Germany",24,25,-0.881264498963127,9,7,8,"Lillehammer"
"5208",1998,"Germany",29,23,5.67525089031434,12,9,8,"Nagano"
"5422",2002,"Germany",36,28,8.08080668693972,12,16,8,"Salt Lake City"
"5636",2006,"Germany",29,34,-5.04331822180129,11,12,6,"Torino"
"5850",2010,"Germany",30,28,2.46777569256346,10,13,7,"Vancouver"
"6064",2014,"Germany",19,29,-9.83362043569107,8,6,5,"Sochi"
"3498",1968,"Greece",0,0,-0.383731772597356,0,0,0,"Grenoble"
"3712",1972,"Greece",0,0,0.571546091118933,0,0,0,"Sapporo"
"3926",1976,"Greece",0,0,0.233994493371308,0,0,0,"Innsbruck"
"4140",1980,"Greece",0,0,-0.486871349431244,0,0,0,"Lake Placid"
"4354",1984,"Greece",0,0,0.0262236567864222,0,0,0,"Sarajevo"
"4568",1988,"Greece",0,1,-0.503356896051217,0,0,0,"Calgary"
"4782",1992,"Greece",0,1,-1.39766644551175,0,0,0,"Albertville"
"4996",1994,"Greece",0,1,-0.587946431103703,0,0,0,"Lillehammer"
