Year,YearCode,Country Name,Country Code,GDP,Pop,olympiccountry,GameType,Year,locCity,locCountry,Rank,Gold,Silver,Bronze,Total,Participant,ParticMedalCheck,TotalAdj,AvgAnnualTemp,NumEvents,NumMedals
1960,YR1960,Peru,PER,2503708501,9931518,Peru,Summer,1960,Roma,Italy,0,0,0,0,0,1,0,0,19.45650895,19,301
1960,YR1960,Philippines,PHL,6684685511,26271731,Philippines,Summer,1960,Roma,Italy,0,0,0,0,0,1,0,0,25.32667419,19,301
1960,YR1960,Poland,POL,,29637450,Poland,Summer,1960,Roma,Italy,7,4,6,11,21,1,0,21,7.868831915,19,301
1960,YR1960,Portugal,PRT,3193200404,8857716,Portugal,Summer,1960,Roma,Italy,34,0,1,0,1,1,0,1,14.97038087,19,301
1960,YR1960,Puerto Rico,PRI,1691899776,2358000,Puerto Rico,Summer,1960,Roma,Italy,0,0,0,0,0,1,0,0,24.27766673,19,301
1960,YR1960,Qatar,QAT,,47316,Qatar,Summer,1960,Roma,Italy,0,0,0,0,0,0,0,0,26.9173336,19,301
1960,YR1960,Romania,ROM,,18406905,Romania,Summer,1960,Roma,Italy,10,3,1,6,10,1,0,10,,19,301
1960,YR1960,Russian Federation,RUS,,119897000,Russia,Summer,1960,Roma,Italy,0,0,0,0,0,0,0,0,-6.321294479,19,301
1960,YR1960,Rwanda,RWA,119000023,2933424,,Summer,1960,Roma,Italy,0,0,0,0,0,0,0,0,19.01189995,19,301
1960,YR1960,Samoa,WSM,,108645,,Summer,1960,Roma,Italy,0,0,0,0,0,0,0,0,,19,301
1960,YR1960,San Marino,SMR,,15393,,Summer,1960,Roma,Italy,0,0,0,0,0,1,0,0,,19,301
1960,YR1960,Sao Tome and Principe,STP,,64255,,Summer,1960,Roma,Italy,0,0,0,0,0,0,0,0,,19,301
1960,YR1960,Saudi Arabia,SAU,,4072110,Saudi Arabia,Summer,1960,Roma,Italy,0,0,0,0,0,0,0,0,24.65100734,19,301
