"","Year","YearCode","CountryName","CountryCode","GDP","Pop","olympiccountry","GameType","Yearextra","locCity","locCountry","Rank","Gold","Silver","Bronze","Total","Participant","ParticMedalCheck","TotalAdj","AvgAnnualTemp","NumEvents","NumMedals","logPop","logGDP","logGDPperCap","TotalAdjLagBy1","predicted","residuals"
"1555",1988,"YR1988","Ecuador","ECU",13051886552,9650906,"Ecuador","Summer",1988,"Seoul","South Korea",0,0,0,0,0,1,0,0,21.32904646,30,444,16.0825623549185,23.2921985236385,7.20963616871997,0,0,1.60626899888962
"1769",1992,"YR1992","Ecuador","ECU",18093864475,10598168,"Ecuador","Summer",1992,"Barcelona","Spain",0,0,0,0,0,1,0,0,21.32904646,32,692,16.1761917139568,23.61883873847,7.4426470245132,0,1,-1.17504539929081
"1983",1996,"YR1996","Ecuador","ECU",24180150997,11557151,"Ecuador","Summer",1996,"Atlanta","United States",62,1,0,0,1,1,0,1,21.32904646,31,837,16.2628149375467,23.9087979268199,7.64598298927322,0,1,0.446701037818626
"2197",2000,"YR2000","Ecuador","ECU",18327386416,12533087,"Ecuador","Summer",2000,"Sydney","Australia",0,0,0,0,0,1,0,0,21.32904646,34,918,16.3438826652435,23.63166230358,7.28777963833644,1,2,-1.82711502643655
"2411",2004,"YR2004","Ecuador","ECU",36591661000,13529091,"Ecuador","Summer",2004,"Athina","Greece",0,0,0,0,0,1,0,0,21.32904646,34,920,16.4203528138545,24.3230862098639,7.90273339600931,0,1,-0.586159675585388
"2625",2008,"YR2008","Ecuador","ECU",61762635000,14512402,"Ecuador","Summer",2008,"Beijing","China",74,0,1,0,1,1,0,1,21.32904646,35,954,16.4905141521662,24.8465644069082,8.35605025474207,0,1,0.26000730077551
"2839",2012,"YR2012","Ecuador","ECU",84039856000,15492264,"Ecuador","Summer",2012,"London","Great Britain",0,0,0,0,0,1,0,0,21.32904646,32,960,16.555851360525,25.154556999452,8.59870563892694,1,2,-1.61035603286361
"272",1964,"YR1964","Egypt, Arab Rep.","EGY",4781695715,31241836,"Egypt","Summer",1964,"Tokyo","Japan",0,0,0,0,0,1,0,0,22.12045302,22,339,17.2572686520155,22.2880610726322,5.0307924206167,0,1,-0.844762261617215
"486",1968,"YR1968","Egypt, Arab Rep.","EGY",6109112180,34660399,"Egypt","Summer",1968,"Ciudad de Mexico","Mexico",0,0,0,0,0,1,0,0,22.12045302,22,363,17.3611083540147,22.5330472935163,5.17193893950165,0,1,-0.607206339243163
"700",1972,"YR1972","Egypt, Arab Rep.","EGY",8763960987,37945429,"Egypt","Summer",1972,"Munchen","West Germany",0,0,0,0,0,1,0,0,22.12045302,25,382,17.4516596065936,22.8939138071636,5.44225420056993,0,0,-0.482657855661989
"914",1976,"YR1976","Egypt, Arab Rep.","EGY",13360477195,41212513,"Egypt","Summer",1976,"Montreal","Canada",0,0,0,0,0,1,0,0,22.12045302,23,343,17.5342524818004,23.3155667226057,5.7813142408053,0,0,0.173042468644471
"1342",1984,"YR1984","Egypt, Arab Rep.","EGY",30642873686,49190419,"Egypt","Summer",1984,"Los Angeles","United States",36,0,1,0,1,1,0,1,22.12045302,27,610,17.7112094267267,24.1456659661285,6.43445653940178,0,3,-1.85568631859941
"1556",1988,"YR1988","Egypt, Arab Rep.","EGY",35044633281,54011214,"Egypt","Summer",1988,"Seoul","South Korea",0,0,0,0,0,1,0,0,22.12045302,30,444,17.8047022496355,24.2798883226122,6.47518607297677,1,0,0.353661960606465
"1770",1992,"YR1992","Egypt, Arab Rep.","EGY",41855483504,58370712,"Egypt","Summer",1992,"Barcelona","Spain",0,0,0,0,0,1,0,0,22.12045302,32,692,17.8823248151525,24.4574886528732,6.57516383772068,0,1,-1.44687669680501
"1984",1996,"YR1996","Egypt, Arab Rep.","EGY",67629717780,62123592,"Egypt","Summer",1996,"Atlanta","United States",0,0,0,0,0,1,0,0,22.12045302,31,837,17.9446363781403,24.9373133355244,6.99267695738407,0,1,-0.883338323496748
"2198",2000,"YR2000","Egypt, Arab Rep.","EGY",99838540997,66136590,"Egypt","Summer",2000,"Sydney","Australia",0,0,0,0,0,1,0,0,22.12045302,34,918,18.0072327068861,25.3268201280493,7.31958742116319,0,1,-1.42727453354783
"2412",2004,"YR2004","Egypt, Arab Rep.","EGY",78845185709,70591288,"Egypt","Summer",2004,"Athina","Greece",43,1,1,3,5,1,0,5,22.12045302,34,920,18.0724172954157,25.0907520921693,7.01833479675361,0,1,4.16428368500193
"2626",2008,"YR2008","Egypt, Arab Rep.","EGY",162818181818,75491922,"Egypt","Summer",2008,"Beijing","China",80,0,0,1,1,1,0,1,22.12045302,35,954,18.1395362151176,25.8158999662076,7.67636375109007,5,6,-4.72555587794748
"2840",2012,"YR2012","Egypt, Arab Rep.","EGY",262831912587,80721874,"Egypt","Summer",2012,"London","Great Britain",57,0,2,0,2,1,0,2,22.12045302,32,960,18.2065201497956,26.2947805491639,8.08826039936829,1,2,0.02549442999316
"701",1972,"YR1972","El Salvador","SLV",1263720038,3937583,"","Summer",1972,"Munchen","West Germany",0,0,0,0,0,1,0,0,24.77087498,25,382,15.1860776412589,20.9573256192147,5.77124797795579,0,0,0.131456984946073
"1343",1984,"YR1984","El Salvador","SLV",3661683396,4938109,"","Summer",1984,"Los Angeles","United States",0,0,0,0,0,1,0,0,24.77087498,27,610,15.4124930223577,22.02118882288,6.60869580052235,0,2,-2.18350508471054
"1557",1988,"YR1988","El Salvador","SLV",4189880000,5199613,"","Summer",1988,"Seoul","South Korea",0,0,0,0,0,1,0,0,24.77087498,30,444,15.4640947577052,22.1559379308522,6.691843173147,0,0,1.96082016051874
"1771",1992,"YR1992","El Salvador","SLV",5954700000,5511138,"","Summer",1992,"Barcelona","Spain",0,0,0,0,0,1,0,0,24.77087498,32,692,15.5222816933793,22.5074466606509,6.98516496727162,0,1,-0.827856441044936
"1985",1996,"YR1996","El Salvador","SLV",10315500000,5806750,"","Summer",1996,"Atlanta","United States",0,0,0,0,0,1,0,0,24.77087498,31,837,15.5745315919379,23.0569134553923,7.48238186345441,0,0,-0.285659327896053
"2199",2000,"YR2000","El Salvador","SLV",13134100000,5958794,"","Summer",2000,"Sydney","Australia",0,0,0,0,0,1,0,0,24.77087498,34,918,15.6003786695729,23.2984777385129,7.69809906893999,0,1,-0.783787915299863
"2413",2004,"YR2004","El Salvador","SLV",15798300000,6050297,"","Summer",2004,"Athina","Greece",0,0,0,0,0,1,0,0,24.77087498,34,920,15.6156179197112,23.4831681762539,7.86755025654268,0,0,-0.32125575124038
"2627",2008,"YR2008","El Salvador","SLV",2.1431e+10,6151776,"","Summer",2008,"Beijing","China",0,0,0,0,0,1,0,0,24.77087498,35,954,15.6322513785814,23.788104308899,8.1558529303175,0,0,-0.407427481572119
"2841",2012,"YR2012","El Salvador","SLV",23864400000,6297394,"","Summer",2012,"London","Great Britain",0,0,0,0,0,1,0,0,24.77087498,32,960,15.655646454991,23.8956536456677,8.24000719067671,0,0,-0.280992099450509
