"","Year","CountryName","TotalAdj","predicted","residuals","Gold","Silver","Bronze","locCity"
"2513",2004,"Rwanda",0,0,0.297637721732076,0,0,0,"Athina"
"2727",2008,"Rwanda",0,0,0.0544187909242292,0,0,0,"Beijing"
"2941",2012,"Rwanda",0,0,0.0869382594460638,0,0,0,"London"
"1019",1976,"Saudi Arabia",0,0,-0.294559813242869,0,0,0,"Montreal"
"1447",1984,"Saudi Arabia",0,3,-3.26273000881233,0,0,0,"Los Angeles"
"1661",1988,"Saudi Arabia",0,0,1.01468382534626,0,0,0,"Seoul"
"1875",1992,"Saudi Arabia",0,2,-1.80017758140955,0,0,0,"Barcelona"
"2089",1996,"Saudi Arabia",0,1,-1.13418129779649,0,0,0,"Atlanta"
"2303",2000,"Saudi Arabia",2,2,0.386968198837009,0,1,1,"Sydney"
"2517",2004,"Saudi Arabia",0,3,-3.06205423852061,0,0,0,"Athina"
"2731",2008,"Saudi Arabia",0,1,-1.40010204513639,0,0,0,"Beijing"
"2945",2012,"Saudi Arabia",1,1,-0.337341021763928,0,0,1,"London"
"592",1968,"Senegal",0,0,-0.0432850516424561,0,0,0,"Ciudad de Mexico"
"806",1972,"Senegal",0,0,0.12638246191135,0,0,0,"Munchen"
"1020",1976,"Senegal",0,0,0.735792476574728,0,0,0,"Montreal"
"1234",1980,"Senegal",0,1,-0.877407174357254,0,0,0,"Moskva"
"1448",1984,"Senegal",0,2,-2.09232126303738,0,0,0,"Los Angeles"
"1662",1988,"Senegal",1,0,2.90487356027506,0,1,0,"Seoul"
"1876",1992,"Senegal",0,2,-1.76825317485912,0,0,0,"Barcelona"
"2090",1996,"Senegal",0,0,-0.0704086493189377,0,0,0,"Atlanta"
"2304",2000,"Senegal",0,0,-0.470419765097104,0,0,0,"Sydney"
"2518",2004,"Senegal",0,0,-0.117967688456507,0,0,0,"Athina"
"2732",2008,"Senegal",0,0,-0.268247064487514,0,0,0,"Beijing"
"2946",2012,"Senegal",0,0,-0.124260729292631,0,0,0,"London"
"2947",2012,"Serbia",4,3,0.774560194976437,1,1,2,"London"
"1237",1980,"Sierra Leone",0,1,-0.516712992159339,0,0,0,"Moskva"
