Time_Value,Time_ValueCode,Country_Name,Country_Code,"Population, total"
1962,YR1962,Cape Verde,CPV,222725
1962,YR1962,Caribbean small states,CSS,4344727.2
1962,YR1962,Cayman Islands,CYM,8142
1962,YR1962,Central African Republic,CAF,1556656
1962,YR1962,Chad,TCD,3122357
1962,YR1962,Channel Islands,CHI,111463
1962,YR1962,Chile,CHL,8047690
1962,YR1962,China,CHN,665770000
1962,YR1962,Colombia,COL,16986307
1962,YR1962,Comoros,COM,197073
1962,YR1962,"Congo, Dem. Rep.",ZAR,16041247
1962,YR1962,"Congo, Rep.",COG,1067589
1962,YR1962,Costa Rica,CRI,1431088
1962,YR1962,Cote d'Ivoire,CIV,3740503
1962,YR1962,Croatia,HRV,4202104
1962,YR1962,Cuba,CUB,7450405
1962,YR1962,Curacao,CUW,
1962,YR1962,Cyprus,CYP,577691
1962,YR1962,Czech Republic,CZE,9624660
1962,YR1962,Denmark,DNK,4647727
1962,YR1962,Djibouti,DJI,94200
1962,YR1962,Dominica,DMA,61984
1962,YR1962,Dominican Republic,DOM,3540319
1962,YR1962,East Asia & Pacific (all income levels),EAS,1060406792.24979
1962,YR1962,East Asia & Pacific (developing only),EAP,907903932.2
1962,YR1962,Ecuador,ECU,4779559
1962,YR1962,"Egypt, Arab Rep.",EGY,29590639
1962,YR1962,El Salvador,SLV,2950666
1962,YR1962,Equatorial Guinea,GNQ,257940
1962,YR1962,Eritrea,ERI,1472966
1962,YR1962,Estonia,EST,1245700
1962,YR1962,Ethiopia,ETH,23221344
1962,YR1962,Euro area,EMU,265154479
1962,YR1962,Europe & Central Asia (all income levels),ECS,683223363.353949
1962,YR1962,Europe & Central Asia (developing only),ECA,171465406
1962,YR1962,European Union,EUU,416545224
1962,YR1962,Faeroe Islands,FRO,35153
1962,YR1962,Fiji,FJI,421576
1962,YR1962,Finland,FIN,4491443
1962,YR1962,France,FRA,47990159
1962,YR1962,French Polynesia,PYF,83654
1962,YR1962,Gabon,GAB,509348
1962,YR1962,"Gambia, The",GMB,383525
1962,YR1962,Georgia,GEO,3760300
1962,YR1962,Germany,DEU,74025784
1962,YR1962,Ghana,GHA,7085698
1962,YR1962,Greece,GRC,8448233
1962,YR1962,Greenland,GRL,35000
1962,YR1962,Grenada,GRD,92424
1962,YR1962,Guam,GUM,69607
1962,YR1962,Guatemala,GTM,4369153
1962,YR1962,Guinea,GIN,3689661
1962,YR1962,Guinea-Bissau,GNB,647572
1962,YR1962,Guyana,GUY,591665
1962,YR1962,Haiti,HTI,4026076
1962,YR1962,Heavily indebted poor countries (HIPC),HPC,169639108
1962,YR1962,High income,HIC,892486026.003738
1962,YR1962,High income: OECD,OEC,730026172
1962,YR1962,High income: nonOECD,NOC,162459854.003738
1962,YR1962,Honduras,HND,2139208
1962,YR1962,"Hong Kong SAR, China",HKG,3305200
1962,YR1962,Hungary,HUN,10061734
1962,YR1962,Iceland,ISL,182378
1962,YR1962,India,IND,467962144
1962,YR1962,Indonesia,IDN,93101152
1962,YR1962,"Iran, Islamic Rep.",IRN,23130085
1962,YR1962,Iraq,IRQ,7674220
1962,YR1962,Ireland,IRL,2836050
1962,YR1962,Isle of Man,IMY,48580
1962,YR1962,Israel,ISR,2293000
1962,YR1962,Italy,ITA,50879450
1962,YR1962,Jamaica,JAM,1678467.2
1962,YR1962,Japan,JPN,95832000
1962,YR1962,Jordan,JOR,943089.6
1962,YR1962,Kazakhstan,KAZ,10819503
1962,YR1962,Kenya,KEN,8628973
1962,YR1962,Kiribati,KIR,34800
1962,YR1962,"Korea, Dem. Rep.",PRK,11871721
1962,YR1962,"Korea, Rep.",KOR,26437008
1962,YR1962,Kosovo,KSV,994000
1962,YR1962,Kuwait,KWT,335186
1962,YR1962,Kyrgyz Republic,KGZ,2333400
1962,YR1962,Lao PDR,LAO,2219669
1962,YR1962,Latin America & Caribbean (all income levels),LCN,232344869.8
1962,YR1962,Latin America & Caribbean (developing only),LAC,217790927.2
1962,YR1962,Latvia,LVA,2181586
1962,YR1962,Least developed countries: UN classification,LDC,252836938
